"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 17 18:04:17 IST 2024","Wed Apr 17 18:04:19 IST 2024","1688","","Register Page","","Register Page","should show error message if username is less than 6 characters","should show error message if username is less than 6 characters",""
"passed","Wed Apr 17 18:02:31 IST 2024","Wed Apr 17 18:02:32 IST 2024","1198","","Checkout Page","","Checkout Page","should show error message if low balance","should show error message if low balance",""
"passed","Wed Apr 17 18:02:56 IST 2024","Wed Apr 17 18:02:57 IST 2024","801","","Login Page Login Form Validation","","Login Page Login Form Validation","should throw error if username field is empty","should throw error if username field is empty",""
"passed","Wed Apr 17 18:02:23 IST 2024","Wed Apr 17 18:02:24 IST 2024","1430","","Checkout Page","","Checkout Page","should show items by parsing the response data","should show items by parsing the response data",""
"passed","Wed Apr 17 18:01:58 IST 2024","Wed Apr 17 18:02:02 IST 2024","4487","","Shopping Cart Functionality","","Shopping Cart Functionality","should add product to cart","should add product to cart",""
"passed","Wed Apr 17 18:04:23 IST 2024","Wed Apr 17 18:04:25 IST 2024","1612","","Register Page","","Register Page","should send a successful POST request to register a new user","should send a successful POST request to register a new user",""
"passed","Wed Apr 17 18:02:30 IST 2024","Wed Apr 17 18:02:31 IST 2024","1104","","Checkout Page","","Checkout Page","should show error message if no address selected for checkout","should show error message if no address selected for checkout",""
"passed","Wed Apr 17 18:02:53 IST 2024","Wed Apr 17 18:02:53 IST 2024","728","","Login Page","","Login Page","should display header with logo","should display header with logo",""
"passed","Wed Apr 17 18:02:57 IST 2024","Wed Apr 17 18:02:58 IST 2024","1287","","Login Page Login Form Validation","","Login Page Login Form Validation","should throw error if password field is empty","should throw error if password field is empty",""
"passed","Wed Apr 17 18:02:54 IST 2024","Wed Apr 17 18:02:55 IST 2024","611","","Login Page","","Login Page","should navigate to the login Page","should navigate to the login Page",""
"passed","Wed Apr 17 18:02:15 IST 2024","Wed Apr 17 18:02:21 IST 2024","5906","","Checkout Page","","Checkout Page","should retrieve products","should retrieve products",""
"passed","Wed Apr 17 18:04:19 IST 2024","Wed Apr 17 18:04:20 IST 2024","929","","Register Page","","Register Page","should show error message if password is empty","should show error message if password is empty",""
"passed","Wed Apr 17 18:04:07 IST 2024","Wed Apr 17 18:04:16 IST 2024","8764","","Register Page","","Register Page","should display register form","should display register form",""
"passed","Wed Apr 17 18:02:24 IST 2024","Wed Apr 17 18:02:25 IST 2024","1031","","Checkout Page","","Checkout Page","should not allow to edit quantity","should not allow to edit quantity",""
"passed","Wed Apr 17 18:03:21 IST 2024","Wed Apr 17 18:03:21 IST 2024","855","","Products Page - Header","","Products Page - Header","should have login button on Header route to login page","should have login button on Header route to login page",""
"passed","Wed Apr 17 18:03:34 IST 2024","Wed Apr 17 18:03:36 IST 2024","1726","","Products Page","","Products Page","should make a GET request to load products","should make a GET request to load products",""
"passed","Wed Apr 17 18:03:58 IST 2024","Wed Apr 17 18:04:02 IST 2024","4506","","Products Page","","Products Page","debounces the searching API calls","debounces the searching API calls",""
"passed","Wed Apr 17 18:02:37 IST 2024","Wed Apr 17 18:02:38 IST 2024","1070","","Checkout Page","","Checkout Page","allows to delete address","allows to delete address",""
"passed","Wed Apr 17 18:02:55 IST 2024","Wed Apr 17 18:02:56 IST 2024","709","","Login Page Login Form Validation","","Login Page Login Form Validation","should have register now link","should have register now link",""
"passed","Wed Apr 17 18:03:30 IST 2024","Wed Apr 17 18:03:34 IST 2024","4177","","Products Page - Header: Logged in","","Products Page - Header: Logged in","logout button should clear local storage items","logout button should clear local storage items",""
"passed","Wed Apr 17 18:02:34 IST 2024","Wed Apr 17 18:02:37 IST 2024","3189","","Checkout Page","","Checkout Page","allows to add new address","allows to add new address",""
"passed","Wed Apr 17 18:02:39 IST 2024","Wed Apr 17 18:02:41 IST 2024","1289","","Checkout Page","","Checkout Page","should route to '/thanks' after checkout successful","should route to '/thanks' after checkout successful",""
"passed","Wed Apr 17 18:04:26 IST 2024","Wed Apr 17 18:04:27 IST 2024","682","","Register Page","","Register Page","'back to explore' button on Header should route to products","'back to explore' button on Header should route to products",""
